x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53
287.72856365729126,288.3468484573735,288.4255013215404,288.61122251333285,288.78679639217984,289.04902006980404,289.42680037575514,289.9244191738119,290.2978075074671,290.8244431677577,291.30237315051806,291.77298560087553,292.06860331584284,292.41760862624653,292.68625935303663,292.79053664120744,292.823806361156,292.9885692314439,293.03928130639173,292.977653817221,292.8539421006978,292.7772338806498,292.62595703047424,292.5498612140892,291.6807253560663,290.7638560993452,289.4311834022302,288.36916983945605,289.2061852585104,294.5757592425779,296.06275248860226,297.18211420423916,,,,,,,,,,,,,,,,,,,,,
285.29848822032216,285.89620696887533,285.9804934411218,286.1545786234426,286.3391498048623,286.5970594050627,286.98914665007646,287.4644202395998,287.8773038273134,288.3622082188007,288.8717831699287,289.35136886442825,289.6192821063712,289.9627495995771,290.26016583061863,290.34701002715843,290.40889885074967,290.55578125533464,290.60537047203195,290.55731328037,290.4490298608771,290.33782736972574,290.240507327828,290.14985645012234,289.8537569972594,289.367399531623,289.3270749768762,288.73144542528917,288.9858604699713,293.0735491162444,295.8306698900351,296.9972870078769,297.73600177472827,,,,,,,,,,,,,,,,,,,,
282.93064621110517,283.44608464934464,283.53435355581945,283.71102443932756,283.89352173666305,284.15114952602545,284.54992787140225,285.00812487949946,285.441057555204,285.8993236533217,286.4383149660399,286.95074510482607,287.18798233801516,287.51442669769386,287.84445725825543,287.91295822358137,288.0674853978686,288.1199290746299,288.1865640402188,288.1470120743947,288.1394828804826,288.1644507100071,288.20385819180876,288.12986848132886,289.0775525711028,289.6635255231141,289.2358583075094,288.9477714965879,289.5637779180667,291.8002469376774,293.43704688322146,295.09694393688795,296.99330887062524,295.8141355464917,,,,,,,,,,,,,,,,,,,
280.5699690990472,281.0017107276226,281.0920249456969,281.2767340054396,281.45482780150803,281.71631117329406,282.11292016909584,282.5716991039505,283.00014045596157,283.44848126996715,283.9946585173288,284.6013916355499,284.82572154756616,285.14978886113187,285.53498214417704,285.70524462958826,285.8552809836956,285.8893038826769,286.0220753419064,286.28596470460013,286.8625245850117,287.5003165597622,288.31182160493074,289.7456220561861,291.5506648102465,291.2371870517298,290.0807458446319,291.0871798725629,292.202201965934,290.9657159338483,290.8210883415551,292.4123357411684,294.56265011498766,295.5269630493511,294.13785457586386,293.1592618002202,,,,,,,,,,,,,,,,,
278.0882604546827,278.55379202290925,278.6630507118956,278.83645396849647,279.02157193379475,279.2725719431441,279.68390140122614,280.1539009799366,280.6005133930767,281.05674359845597,281.55071983164896,282.20715808060845,282.56748536030915,282.9913068573733,283.28099083460944,283.38759010250794,283.36957395876414,283.5921848264086,284.49202751229046,286.1588426618686,287.24964084849466,288.298283801588,289.8021154281419,291.92107364441534,293.0630736481976,293.2737168352205,293.4807825847649,293.6530222638671,293.91719971741435,292.32170351532926,290.993578264394,290.59953923793057,291.7031065091365,293.19442144058223,293.8441017029556,292.9740059960687,292.9406257898493,293.72069486178844,,296.6460346102524,295.78731921946445,294.5774328951037,293.39110334169453,294.2122138620082,294.6577850885631,295.4447508227364,,,,,,,
278.1022946973684,276.6032333103919,276.50547251471414,276.55735159934846,276.7366653705127,276.98636755122834,277.4190268010405,277.838027271992,278.23746399504785,278.67731277603036,279.1851662269922,279.55103154575573,280.2101345601507,280.61517041183436,281.04855734909637,281.8675984893083,282.740251647056,285.0304983377734,287.35952899097833,288.1478350210854,288.7726115941965,289.99574218997213,291.44854938322356,292.66299843421314,293.30298714226257,294.3879144710758,295.3360955999459,295.03558085988203,294.52309727220626,293.24277838736623,291.42922822951215,290.04883160708084,289.35683034531843,290.5972641641231,291.7503697055576,291.20405453708753,291.4612316441712,293.140845087577,295.1357153163895,295.94899444341837,294.6898364178228,293.455722326676,292.3879316149781,293.3442852976852,293.998884880042,294.9852203547476,296.27767403692695,297.3859756472506,297.07416169850825,,,,
280.11387476119006,280.2858322867639,280.42643350245675,280.22997479485053,280.00246629056096,279.92205200040223,279.4601242961282,278.81182261183596,278.46079019327163,278.42622325198636,278.7928832634075,279.45214856705394,280.7670118844279,282.5719963014671,284.7912879025858,286.68533829191944,287.60049399532454,288.22718783812087,288.8289201909936,289.203118988812,289.81966133701206,290.75964432317124,291.6314741138662,292.3810810786358,293.09190010595375,294.11076277074795,294.71442372053286,294.50347615688077,293.9160797291385,293.04777746522734,291.52651349249646,290.33033080539116,289.0022528476639,288.7167049886154,289.2721137778992,288.94397921755683,289.21487324118635,291.0604875736536,293.23519068406523,293.46084412446316,292.2416590126189,291.1085429492296,290.2690509346612,290.950960570641,291.42762238172946,292.3976744643119,294.42688190930033,296.42898680991294,296.6553293379136,297.08283080971546,297.1282574922757,297.45758158508954,296.8284767620387
280.495953951001,280.64104008005353,280.90791068012,281.24830293480113,281.60059728664197,281.9645175341037,282.4561889380107,282.99669417934496,283.4584692510624,283.79855221783146,283.93922603483946,284.25440002708433,284.9010152066927,285.6386068793643,286.3847809749563,287.08919070153854,287.7113218972645,288.120694,288.5825284026031,289.04456936762847,289.5113766299639,290.25769572780854,291.09588267645427,291.7941490909756,292.6038410185425,293.092681742988,293.06347692977675,292.9827553440779,292.8875384691219,292.11956148186493,290.6559995607219,289.9970509947169,289.79407008201406,288.211527711865,287.58539929767375,288.56889018138736,289.0052749472326,289.7360967259694,290.9581514287052,291.13701135586746,290.0246975587117,289.7583472959247,289.98321581986704,289.71204139761386,289.25657699003426,290.03937249062426,291.926163980923,293.81823770733934,294.1009115880333,294.9294297455475,295.4448152553469,294.8643536367891,294.39869566521514
280.34031593801836,280.4614162652877,280.71688291361016,281.1170199926379,281.4673163985999,281.5887644609809,281.71926449891254,282.1308806102407,282.6501248475735,283.1077396726614,283.50786191295396,283.97944197191816,284.61114660743084,285.283687854957,285.8282130947801,286.37827232260577,287.0042908026565,287.4522320558794,287.8367237464158,288.16667985154317,288.6596396429773,289.56406785175653,290.4242539539545,291.04914118873603,291.3260295376859,291.2788438599624,291.25641198816396,291.35076022868105,291.22763887067754,290.6216329564002,289.54681729764684,289.0730865589548,288.91472104168423,288.9079072120367,288.6773469341934,289.2358105271884,289.7194359502679,289.3341902936641,289.29278605148204,289.3687466065073,289.1445374639819,289.2502188266052,289.0059255628038,289.05449195201754,288.45516253394567,288.12600712556844,289.5272423472721,291.34967366520783,291.59568270186725,292.37598445861653,292.88335334259347,292.35349342436376,291.9202663798277
279.01174020673545,279.24185543616466,279.43558210903905,279.6108150004973,279.7987601686161,280.03734843251806,280.31875605768505,280.6911634562127,281.16666933920015,281.7619870284065,282.3018687625364,282.70688907176964,283.1198527728581,283.5661685563031,283.9812399181177,284.4090692638901,284.8617300938692,285.1522406628709,285.4306098447298,286.2809207436834,287.3360403994273,287.92279874049433,288.051892814058,288.110236280906,288.0571720985855,288.0888532232015,288.0312919417724,287.93137163163476,287.8798927724367,287.7320250791498,287.40141285807675,287.47642616628667,287.8267738272795,287.9367165034859,287.7741189180868,287.7469179212513,287.4173371611303,287.29812234485144,287.06139670143625,286.700639465413,286.5949109403132,286.80472423207925,286.8040915514626,286.6735402870209,286.82713932073426,287.09268657810424,286.7624013304264,286.62553921820347,286.7882093418611,287.5571440125722,288.02270835938117,287.62788055183245,287.21744329015644
