variable,mean,min,max,median,std
absdiff_bianca_marco_abs,0.07275328604671057 km,2.3129196335958113e-9 km,0.26724260073189043 km,0.05388533132132345 km,0.06747539241193946 km
absdiff_bianca_marco_perc,0.75333633421069,3.647426487824694e-8,5.263049042075943,0.4308049052351588,0.9309586161564689
linear_vs_log_ciddor,0.006391349616369983,0.0,2.0772155131073005,0.0011188928936850524,0.05431648521209552
linear_vs_log_mathar,0.005362582671381353,0.0,3.999999423170268,0.0013448293635926986,0.04712396566496178
linear_vs_log_carlotti,0.0063045489749803,0.0,1.8090866728493697,0.001116447936032045,0.052248394501128545
carlotti_vs_ciddor_linear,0.0004772351242862841,0.0,1.1527417187841742,0.0002116635042549245,0.010722039502798595
carlotti_vs_mathar_linear,0.38476311800075225,2.2849138299854178e-11,4.999998733089163,0.3179349791351068,0.39527931284278783
carlotti_vs_ciddor_log,0.0006764083126429136,0.0,2.0772155127458882,0.00021366568324863327,0.020390365663461196
carlotti_vs_mathar_log,0.38424386082586137,0.0,4.999998726978126,0.3178110597816496,0.39569616830070775
